LangID	CountryID	LangStatus	Name
aly	AU	L	Alyawarr
alz	CD	L	Alur
ama	BR	L	Amanayé
amb	NG	L	Ambo
amc	PE	L	Amahuaca
ame	PE	L	Yanesha’
amf	ET	L	Hamer-Banna
amg	AU	L	Amurdak
amh	ET	L	Amharic
ami	TW	L	Amis
amj	TD	L	Amdang
amk	ID	L	Ambai
aml	BD	L	War-Jaintia
amm	PG	L	Ama
amn	PG	L	Amanab
amo	NG	L	Amo
amp	PG	L	Alamblak
amq	ID	L	Amahai
amr	PE	L	Amarakaeri
ams	JP	L	Amami-Oshima, Southern
amt	PG	L	Amto
amu	MX	L	Amuzgo, Guerrero
amv	ID	L	Ambelau
amw	SY	L	Western Neo-Aramaic
amx	AU	L	Anmatyerre
amy	AU	L	Ami
amz	AU	X	Atampaya
ana	CO	L	Andaqui
anb	PE	X	Andoa
anc	NG	L	Ngas
and	ID	L	Ansus
ane	NC	L	Xârâcùù
anf	GH	L	Animere
anh	PG	L	Nend
ani	RU	L	Andi
anj	PG	L	Anor
ank	NG	L	Goemai
anl	MM	L	Chin, Anu-Hkongso
anm	IN	L	Anal
ann	NG	L	Obolo
ano	CO	L	Andoque
anp	IN	L	Angika
anq	IN	L	Jarawa
anr	IN	L	Andh
ans	CO	X	Anserma
ant	AU	L	Antakarinya
anu	SS	L	Anuak
anv	CM	L	Denya
anw	NG	L	Anaang
anx	PG	L	Andra-Hus
any	CI	L	Anyin
anz	PG	L	Anem
aoa	ST	L	Angolar
aob	PG	L	Abom
aoc	VE	L	Pemon
aod	PG	L	Andarum
aoe	PG	L	Angal Enen
aof	PG	L	Bragat
aog	PG	L	Angoram
aoh	CO	X	Arma
aoi	AU	L	Anindilyakwa
aoj	PG	L	Mufian
aok	NC	L	Arhö
aol	ID	L	Alor
aom	PG	L	Ömie
aon	PG	L	Arapesh, Bumbita
aor	VU	X	Aore
aos	ID	L	Taikat
aot	IN	L	Atong
aou	CN	L	A’ou
aox	GY	L	Atorada
aoz	ID	L	Uab Meto
apb	SB	L	Sa’a
apc	SY	L	Arabic, North Levantine Spoken
apd	SD	L	Arabic, Sudanese Spoken
ape	PG	L	Bukiyip
apf	PH	L	Agta, Pahanan
apg	ID	L	Ampanang
aph	NP	L	Athpariya
api	BR	L	Apiaká
apj	US	L	Apache, Jicarilla
apk	US	L	Apache, Kiowa
apl	US	L	Apache, Lipan
apm	US	L	Apache, Mescalero-Chiricahua
apn	BR	L	Apinayé
apo	PG	L	Ambul
app	VU	L	Apma
apq	IN	X	A-Pucikwar
apr	PG	L	Arop-Lokep
aps	PG	L	Arop-Sissano
apt	IN	L	Apatani
apu	BR	L	Apurinã
apw	US	L	Apache, Western
apx	ID	L	Aputai
apy	BR	L	Apalaí
apz	PG	L	Safeyoka
aqc	RU	L	Archi
aqd	ML	L	Dogon, Ampari
aqg	NG	L	Arigidi
aqm	ID	L	Atohwaim
aqn	PH	L	Alta, Northern
aqr	NC	L	Arhâ
aqt	PY	L	Angaité
aqz	BR	L	Akuntsu
arb	SA	L	Arabic, Standard
ard	AU	L	Arabana
are	AU	L	Arrarnta, Western
arg	ES	L	Aragonese
arh	CO	L	Arhuaco
ari	US	L	Arikara
arj	BR	L	Arapaso
ark	BR	L	Arikapú
arl	PE	L	Arabela
arn	CL	L	Mapudungun
aro	BO	L	Araona
arp	US	L	Arapaho
arq	DZ	L	Arabic, Algerian Spoken
arr	BR	L	Karo
ars	SA	L	Arabic, Najdi Spoken
arv	ET	L	Arbore
arw	SR	L	Arawak
arx	BR	L	Aruá
ary	MA	L	Arabic, Moroccan Spoken
arz	EG	L	Arabic, Egyptian Spoken
asa	TZ	L	Asu
asb	CA	L	Assiniboine
asc	ID	L	Asmat, Casuarina Coast
asd	PG	L	Asas
ase	US	L	American Sign Language
asf	AU	L	Australian Sign Language
asg	NG	L	Cishingini
ash	PE	X	Abishira
asi	ID	L	Buruwai
asj	CM	L	Sari
ask	AF	L	Ashkun
asl	ID	L	Asilulu
asm	IN	L	Assamese
asn	BR	L	Asurini of Xingú
aso	PG	L	Dano
asp	DZ	L	Algerian Sign Language
asq	AT	L	Austrian Sign Language
asr	IN	L	Asuri
ass	CM	L	Ipulo
ast	ES	L	Asturian
asu	BR	L	Asurini, Tocantins
asv	CD	L	Asoa
asw	AU	L	Australian Aborigines Sign Language
asx	PG	L	Muratayak
asy	ID	L	Asmat, Yaosakor
asz	ID	L	As
ata	PG	L	Pele-Ata
atb	CN	L	Zaiwa
atd	PH	L	Manobo, Ata
ate	PG	L	Atemble
atg	NG	L	Ivbie North-Okpela-Arhe
ati	CI	L	Attié
atj	CA	L	Atikamekw
atk	PH	L	Ati
atl	PH	L	Agta, Mt. Iraya
atm	PH	L	Ata
atn	IR	L	Ashtiani
ato	CM	L	Atong
atp	PH	L	Atta, Pudtol
atq	ID	L	Aralle-Tabulahan
atr	BR	L	Waimiri-Atroarí
ats	US	L	Gros Ventre
att	PH	L	Atta, Pamplona
atu	SS	L	Reel
atv	RU	L	Altai, Northern
atw	US	L	Atsugewi
atx	BR	L	Arutani
aty	VU	L	Aneityum
atz	PH	L	Arta
aua	SB	L	Asumboa
aub	CN	L	Alugu
auc	EC	L	Waorani
aud	SB	L	Anuta
aug	BJ	L	Aguna
auh	ZM	L	Aushi
aui	PG	L	Anuki
auj	LY	L	Awjilah
auk	PG	L	Heyo
aul	VU	L	Aulua
aum	NG	L	Asu
aun	PG	L	One, Molmo
aup	PG	L	Makayam
auq	ID	L	Anus
aur	PG	L	Aruek
aut	PF	L	Austral
auu	ID	L	Auye
auw	ID	L	Awyi
aux	BR	X	Aurá
auy	PG	L	Awiyaana
auz	UZ	L	Arabic, Uzbeki Spoken
ava	RU	L	Avar
avb	PG	L	Avau
avd	IR	L	Alviri-Vidari
ave	IR	X	Avestan
avi	CI	L	Avikam
avl	EG	L	Arabic, Eastern Egyptian Bedawi Spoken
avm	AU	X	Angkamuthi
avn	GH	L	Avatime
avo	BR	X	Agavotaguerra
avs	PE	X	Aushiri
avt	PG	L	Au
avu	SS	L	Avokaya
avv	BR	L	Avá-Canoeiro
awa	IN	L	Awadhi
awb	PG	L	Awa
awc	NG	L	Cicipu
awe	BR	L	Awetí
awg	AU	X	Anguthimri
awh	ID	L	Awbono
awi	PG	L	Aekyom
awk	AU	L	Awabakal
awm	PG	L	Arawum
awn	ET	L	Awngi
awo	NG	L	Awak
awr	ID	L	Awera
aws	ID	L	Awyu, South
awt	BR	L	Araweté
awu	ID	L	Awyu, Central
awv	ID	L	Awyu, Jair
aww	PG	L	Awun
awx	PG	L	Awara
awy	ID	L	Awyu, Edera
axb	AR	X	Abipon
axe	AU	X	Ayerrerenge
axg	BR	L	Arára, Mato Grosso
axk	CF	L	Yaka
axl	AU	X	Aranda, Lower Southern
axx	NC	L	Xârâgurè
aya	PG	L	Awar
ayb	BJ	L	Gbe, Ayizo
ayc	PE	L	Aymara, Southern
ayd	AU	X	Ayabadhu
aye	NG	L	Ayere
ayg	TG	L	Ginyanga
ayh	YE	L	Arabic, Hadrami Spoken
ayi	NG	L	Leyigha
ayk	NG	L	Akuku
ayl	LY	L	Arabic, Libyan Spoken
ayn	YE	L	Arabic, Sanaani Spoken
ayo	PY	L	Ayoreo
ayp	IQ	L	Arabic, North Mesopotamian Spoken
ayq	PG	L	Ayi
ayr	BO	L	Aymara, Central
ays	PH	L	Ayta, Sorsogon
ayt	PH	L	Ayta, Magbukun
ayu	NG	L	Ayu
ayy	PH	X	Ayta, Tayabas
ayz	ID	L	Mai Brat
aza	CN	L	Azha
azb	IR	L	Azerbaijani, South
azd	MX	L	Nahuatl, Eastern Durango
azg	MX	L	Amuzgo, San Pedro Amuzgos
azj	AZ	L	Azerbaijani, North
azm	MX	L	Amuzgo, Ipalapa
azn	MX	L	Nahuatl, Western Durango
azo	CM	L	Awing
azt	PH	L	Atta, Faire
azz	MX	L	Nahuatl, Highland Puebla
baa	SB	L	Babatana
bab	GW	L	Bainouk-Gunyuño
bac	ID	L	Badui
bae	VE	L	Baré
baf	CM	L	Nubaca
bag	CM	L	Tuki
bah	BS	L	Bahamas Creole English
baj	ID	L	Barakai
bak	RU	L	Bashkort
bam	ML	L	Bamanankan
ban	ID	L	Bali
bao	CO	L	Waimaha
bap	NP	L	Bantawa
bar	AT	L	Bavarian
bas	CM	L	Basaa
bau	NG	L	Mbat
bav	CM	L	Vengo
baw	CM	L	Bambili-Bambui
bax	CM	L	Bamun
bay	ID	L	Batuley
bba	BJ	L	Baatonum
bbb	PG	L	Barai
bbc	ID	L	Batak Toba
bbd	PG	L	Bau
bbe	CD	L	Bangba
bbf	PG	L	Baibai
bbg	GA	L	Barama
bbh	CN	L	Bugan
bbi	CM	L	Barombi
bbj	CM	L	Ghomálá’
bbk	CM	L	Babanki
bbl	GE	L	Bats
bbm	CD	L	Babango
bbn	PG	L	Uneapa
bbo	BF	L	Konabéré
bbp	CF	L	Banda, West Central
bbq	CM	L	Bamali
bbr	PG	L	Girawa
bbs	NG	L	Bakpinka
bbt	NG	L	Mburku
bbu	NG	L	Kulung
bbv	PG	L	Karnai
bbw	CM	L	Baba
bbx	CM	L	Bubia
bby	CM	L	Befang
bbz	TD	L	Arabic, Babalia Creole
bca	CN	L	Bai, Central
bcb	SN	L	Bainouk-Samik
bcc	PK	L	Balochi, Southern
bcd	ID	L	Babar, North
bce	CM	L	Bamenyam
bcf	PG	L	Bamu
bcg	GN	L	Baga Binari
bch	PG	L	Bariai
bci	CI	L	Baoulé
bcj	AU	L	Bardi
bck	AU	L	Bunaba
bcl	PH	L	Bikol, Central
bcm	PG	L	Bannoni
bcn	NG	L	Bali
bco	PG	L	Kaluli
bcp	CD	L	Bali
bcq	ET	L	Bench
bcr	CA	L	Babine
bcs	NG	L	Kohumono
bct	CD	L	Bendi
bcu	PG	L	Awad Bing
bcv	NG	L	Shoo-Minda-Nye
bcw	CM	L	Bana
bcy	NG	L	Bacama
bcz	SN	L	Bainouk-Gunyaamolo
bda	SN	L	Bayot
bdb	ID	L	Basap
bdc	CO	L	Emberá-Baudó
bdd	PG	L	Bunama
bde	NG	L	Bade
bdf	PG	L	Biage
bdg	MY	L	Bonggi
bdh	SS	L	Baka
bdi	SD	L	Burun
bdj	SS	L	Bai
bdk	AZ	L	Budukh
bdl	ID	L	Bajau, Indonesian
bdm	TD	L	Buduma
bdn	CM	L	Baldemu
bdo	TD	L	Morom
bdp	TZ	L	Bende
bdq	VN	L	Bahnar
bdr	MY	L	Bajau, West Coast
bds	TZ	L	Burunge
bdt	CF	L	Bhogoto
bdu	CM	L	Oroko
bdv	IN	L	Bodo Parja
bdw	ID	L	Baham
bdx	ID	L	Budong-Budong
bdy	AU	L	Bandjalang
bdz	PK	L	Badeshi
bea	CA	L	Beaver
beb	CM	L	Bebele
bec	CM	L	Iceve-Maci
bed	ID	L	Bedoanas
bee	IN	L	Byangsi
bef	PG	L	Benabena
beg	BN	L	Belait
beh	BJ	L	Biali
bei	ID	L	Bakati’
bej	SD	L	Bedawiyet
bek	PG	L	Bebeli
bel	BY	L	Belarusan
bem	ZM	L	Bemba
ben	BD	L	Bengali
beo	PG	L	Beami
bep	ID	L	Behoa
beq	CG	L	Beembe
bes	TD	L	Besme
bet	CI	L	Bété, Guiberoua
beu	ID	L	Blagar
bev	CI	L	Bété, Daloa
bew	ID	L	Betawi
bex	SS	L	Jur Modo
bey	PG	L	Beli
bez	TZ	L	Bena
bfa	SS	L	Bari
bfb	IN	L	Bareli, Pauri
bfc	CN	L	Bai, Panyi
bfd	CM	L	Bafut
bfe	ID	L	Betaf
bff	CF	L	Bofi
bfg	ID	L	Kayan, Busang
bfh	PG	L	Blafe
bfi	GB	L	British Sign Language
bfj	CM	L	Bafanji
bfk	TH	L	Ban Khor Sign Language
bfl	CF	L	Banda-Ndélé
bfm	CM	L	Mmen
bfn	TL	L	Bunak
bfo	BF	L	Birifor, Malba
bfp	CM	L	Beba
bfq	IN	L	Badaga
bfr	IN	L	Bazigar
bfs	CN	L	Bai, Southern
bft	PK	L	Balti
bfu	IN	L	Gahri
bfw	IN	L	Bondo
bfx	PH	L	Bantayanon
bfy	IN	L	Bagheli
bfz	IN	L	Pahari, Mahasu
bga	NG	L	Gwamhi-Wuri
bgb	ID	L	Bobongko
bgc	IN	L	Haryanvi
bgd	IN	L	Bareli, Rathwi
bge	IN	L	Bauria
bgf	CM	L	Bangandu
bgg	IN	L	Bugun
bgi	PH	L	Giangan
bgj	CM	L	Bangolan
bgk	LA	L	Bit
bgl	LA	L	Bo
bgm	GN	L	Baga Mboteni
bgn	PK	L	Balochi, Western
bgo	GN	L	Baga Koga
bgp	PK	L	Balochi, Eastern
bgq	IN	L	Bagri
bgr	IN	L	Chin, Bawm
bgs	PH	L	Tagabawa
bgt	SB	L	Bughotu
bgu	NG	L	Mbongno
bgv	ID	L	Warkay-Bipim
bgw	IN	L	Bhatri
bgx	TR	L	Balkan Gagauz Turkish
bgy	ID	L	Benggoi
bgz	ID	L	Banggai
bha	IN	L	Bharia
bhb	IN	L	Bhili
bhc	ID	L	Biga
bhd	IN	L	Bhadrawahi
bhe	PK	L	Bhaya
bhf	PG	L	Odiai
bhg	PG	L	Binandere
bhh	IL	L	Bukharic
bhi	IN	L	Bhilali
bhj	NP	L	Bahing
bhl	PG	L	Bimin
bhm	OM	L	Bathari
bhn	GE	L	Bohtan Neo-Aramaic
bho	IN	L	Bhojpuri
bhp	ID	L	Bima
bhq	ID	L	Tukang Besi South
bhr	MG	L	Malagasy, Bara
bhs	CM	L	Buwal
bht	IN	L	Bhattiyali
bhu	IN	L	Bhunjia
bhv	ID	L	Bahau
bhw	ID	L	Biak
bhx	IN	L	Bhalay
bhy	CD	L	Bhele
bhz	ID	L	Bada
bia	AU	L	Badimaya
bib	BF	L	Bisa
bic	PG	L	Bikaru
bid	TD	L	Bidiyo
bie	PG	L	Bepour
bif	GW	L	Biafada
big	PG	L	Biangai
bij	NG	L	Vaghat-Ya-Bijim-Legeri
bil	NG	L	Bille
bim	GH	L	Bimoba
bin	NG	L	Edo
bio	PG	L	Nai
bip	CD	L	Bila
biq	PG	L	Bipi
bir	PG	L	Bisorio
bis	VU	L	Bislama
bit	PG	L	Berinomo
biu	IN	L	Biete
biv	GH	L	Birifor, Southern
biw	CM	L	Kol
bix	IN	L	Bijori
biy	IN	L	Birhor
biz	CD	L	Baloi
bja	CD	L	Budza
bjb	AU	X	Barngarla
bjc	PG	L	Bariji
bje	CN	L	Biao-Jiao Mien
bjf	IL	L	Barzani Jewish Neo-Aramaic
bjg	GW	L	Bidyogo
bjh	PG	L	Bahinemo
bji	ET	L	Burji
bjj	IN	L	Kanauji
bjk	PG	L	Barok
bjl	PG	L	Bulu
bjm	IQ	L	Bajelani
bjn	ID	L	Banjar
bjo	CF	L	Banda, Mid-Southern
bjp	PG	L	Fanamaket
bjr	PG	L	Binumarien
bjs	BB	L	Bajan
bjt	SN	L	Balanta-Ganja
bju	CM	L	Busuu
bjv	TD	L	Bedjond
bjw	CI	L	Bakwé
bjx	PH	L	Itneg, Banao
bjy	AU	X	Bayali
bjz	PG	L	Baruga
bka	NG	L	Kyak
bkc	CM	L	Baka
bkd	PH	L	Binukid
bkf	CD	L	Beeke
bkg	CF	L	Buraka
bkh	CM	L	Bakoko
bki	VU	L	Baki
bkj	CF	L	Pande
bkk	IN	L	Brokskat
bkl	ID	L	Berik
bkm	CM	L	Kom
bkn	ID	L	Bukitan
bko	CM	L	Kwa’
bkp	CD	L	Boko
bkq	BR	L	Bakairí
bkr	ID	L	Bakumpai
bks	PH	L	Sorsoganon, Northern
bkt	CD	L	Boloki
bku	PH	L	Buhid
bkv	NG	L	Bekwarra
bkw	CG	L	Bekwel
bkx	TL	L	Baikeno
bky	NG	L	Bokyi
bkz	ID	L	Bungku
bla	CA	L	Blackfoot
blb	SB	L	Bilua
blc	CA	L	Bella Coola
bld	ID	L	Bolango
ble	GW	L	Balanta-Kentohe
blf	ID	L	Buol
blg	MY	L	Balau
blh	LR	L	Kuwaa
bli	CD	L	Bolia
blj	ID	L	Bolongan
blk	MM	L	Pa’o
blm	SS	L	Beli
bln	PH	L	Bikol, Southern Catanduanes
blo	BJ	L	Anii
blp	SB	L	Blablanga
blq	PG	L	Baluan-Pam
blr	CN	L	Blang
bls	ID	L	Balaesang
blt	VN	L	Tai Dam
blv	AO	L	Bolo
blw	PH	L	Balangao
blx	PH	L	Ayta, Mag-Indi
bly	BJ	L	Notre
blz	ID	L	Balantak
bma	NG	L	Lame
bmb	CD	L	Bembe
bmc	PG	L	Biem
bmd	GN	L	Baga Manduri
bme	CF	L	Limassa
bmf	SL	L	Bom
bmg	CD	L	Bamwe
bmh	PG	L	Kein
bmi	TD	L	Bagirmi
bmj	NP	L	Bote
bmk	PG	L	Ghayavi
bml	CD	L	Bomboli
bmm	MG	L	Malagasy, Northern Betsimisaraka
bmn	PG	X	Bina
bmo	CM	L	Bambalang
bmp	PG	L	Bulgebi
bmq	ML	L	Bomu
bmr	CO	L	Muinane
bms	NE	L	Kanuri, Bilma
bmt	CN	L	Biao Mon
bmu	PG	L	Somba-Siawari
bmv	CM	L	Bum
bmw	CG	L	Bomwali
bmx	PG	L	Baimak
bmz	PG	L	Baramu
bna	ID	L	Bonerate
bnb	MY	L	Bookan
bnd	ID	L	Banda
bne	ID	L	Bintauna
bnf	ID	L	Masiwang
bng	GQ	L	Benga
bni	CD	L	Bangi
bnj	PH	L	Tawbuid, Eastern
bnk	VU	L	Bierebo
bnl	SO	L	Boon
bnm	GQ	L	Batanga
bnn	TW	L	Bunun
bno	PH	L	Bantoanon
bnp	PG	L	Bola
bnq	ID	L	Bantik
bnr	VU	L	Butmas-Tur
bns	IN	L	Bundeli
bnu	ID	L	Bentong
bnv	ID	L	Beneraf
bnw	PG	L	Bisis
bnx	CD	L	Bangubangu
bny	MY	L	Bintulu
bnz	CM	L	Beezen
boa	PE	L	Bora
bob	KE	L	Aweer
bod	CN	L	Tibetan, Central
boe	CM	L	Mundabli
bof	BF	L	Bolon
bog	ML	L	Bamako Sign Language
boh	CD	L	Boma
boi	US	L	Barbareño
boj	PG	L	Anjam
bok	CG	L	Bonjo
bol	NG	L	Bole
bom	NG	L	Berom
bon	PG	L	Bine
boo	ML	L	Bozo, Tiemacèwè
bop	PG	L	Bonkiman
boq	PG	L	Bogaya
bor	BR	L	Borôro
bos	BA	L	Bosnian
bot	SS	L	Bongo
bou	TZ	L	Bondei
bov	GH	L	Tuwuli
bow	PG	L	Rema
box	BF	L	Buamu
boy	CF	L	Bodo
boz	ML	L	Bozo, Tieyaxo
bpa	VU	L	Daakaka
bpb	CO	X	Barbacoas
bpd	CF	L	Banda-Banda
bpg	ID	L	Bonggo
bph	RU	L	Botlikh
bpi	PG	L	Bagupi
bpj	CD	L	Binji
bpk	NC	L	Orowe
bpl	AU	L	Broome Pearling Lugger Pidgin
bpm	PG	L	Biyom
bpn	CN	L	Dzao Min
bpo	ID	L	Anasi
bpp	ID	L	Kaure
bpq	ID	L	Malay, Banda
bpr	PH	L	Blaan, Koronadal
bps	PH	L	Blaan, Sarangani
bpt	AU	X	Barrow Point
bpu	PG	L	Bongu
bpv	ID	L	Marind, Bian
bpw	PG	L	Bo
bpx	IN	L	Bareli, Palya
bpy	IN	L	Bishnupriya
bpz	ID	L	Bilba
bqa	BJ	L	Tchumbuli
bqb	ID	L	Bagusa
bqc	BJ	L	Boko
bqd	CM	L	Bung
bqf	GN	X	Baga Kaloum
bqg	TG	L	Bago-Kusuntu
bqh	CN	L	Baima
bqi	IR	L	Bakhtiâri
bqj	SN	L	Bandial
bqk	CF	L	Banda-Mbrès
bql	PG	L	Bilakura
bqm	CM	L	Wumboko
bqn	BG	L	Bulgarian Sign Language
bqo	CM	L	Balo
bqp	NG	L	Busa
bqq	ID	L	Biritai
bqr	ID	L	Burusu
bqs	PG	L	Bosmun
bqt	CM	L	Bamukumbit
bqu	CD	L	Boguru
bqv	NG	L	Koro Wachi
bqw	NG	L	Buru
bqx	NG	L	Baangi
bqy	ID	L	Bengkala Sign Language
bqz	CM	L	Bakaka
bra	IN	L	Braj Bhasha
brb	LA	L	Lave
brc	GY	X	Berbice Creole Dutch
brd	NP	L	Baram
bre	FR	L	Breton
brf	CD	L	Bera
brg	BO	L	Baure
brh	PK	L	Brahui
bri	CM	L	Mokpwe
brj	VU	L	Bieria
brk	SD	X	Birked
brl	BW	L	Birwa
brm	CD	L	Barambu
brn	CR	L	Boruca
bro	BT	L	Brokkat
brp	ID	L	Barapasi
brq	PG	L	Breri
brr	SB	L	Birao
brs	ID	L	Baras
